,sentence
1,Ça représentait un serpent boa qui avalait un fauve.
2,Voilà la copie du dessin.
3,"On disait dans le livre :""Les serpents boas avalent leur proie tout entière, sans la mâcher."
4,"Ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion."""
5,"J'ai alors beaucoup réfléchi sur les aventures de la jungle et, à mon tour, j'ai réussi, avec un crayon de couleur, à tracer mon premier dessin."
6,"Mon dessin numéro i. Il était comme ça :

J'ai montré mon chef-d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur."
7,"Elles m'ont répondu :""Pourquoi un chapeau ferait-il peur ?"""
8,Mon dessin ne représentait pas un chapeau.
9,Il représentait un serpent boa qui digérait un éléphant.
10,"J'ai alors dessiné l'intérieur du serpent boa, afin que les grandes personnes puissent comprendre."
11,Elles ont toujours besoin d'explications.
12,"Mon dessin numéro 2 était comme ça:

Les grandes personnes m'ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés, et de m'intéresser plutôt à la géographie, à l'histoire, au calcul et à la grammaire."
13,"C'est ainsi que j'ai abandonné, à l'âge de six ans, une magnifique carrière de peintre."
14,J'avais été découragé par l'insuccès de mon dessin numéro i et de mon dessin numéro 2.
15,"Les grandes personnes ne comprennent jamais rien toutes seules, et c'est fatigant, pour les enfants, de toujours et toujours leur donner des explications."
16,J'ai donc dû choisir un autre métier et j'ai appris à piloter des avions.
17,J'ai volé un peu partout dans le monde.
18,"Et la géographie, c'est exact, m'a beaucoup servi."
19,"Je savais reconnaître, du premier coup d'oeil la Chine de l'Arizona."
20,"C'est très utile, si l'on est égaré pendant la nuit."
21,"J'ai ainsi eu, au cours de ma vie, des tas de contacts avec des tas de gens sérieux."
22,J'ai beaucoup vécu chez les grandes personnes.
23,Je les ai vues de très près.
24,Ça n'a pas trop amélioré mon opinion.
25,"Quand j'en rencontrais une qui me paraissait un peu lucide, je faisais l'expérience sur elle de mon dessin numéro i que j'ai toujours conservé."
26,Je voulais savoir si elle était vraiment compréhensive.
27,"Mais toujours elle me répondait :""C'e§t un chapeau."
28,"""Alors je ne lui parlais ni de serpents boas, ni de forêts vierges, ni d'étoiles."
29,Je me mettais à sa portée.
30,"Je lui parlais de bridge, de golf, de politique et de cravates."
31,Et la grande personne était bien contente de connaître un homme aussi raisonnable.
33,Quelque chose s'était cassée dans mon moteur.
34,"Et comme je n'avais avec moi ni mécanicien, ni passagers, je me préparai à essayer de réussir, tout seul, une réparation difficile."
35,C'était pour moi une question de vie ou de mort.
36,"J'avais à peine de l'eau à boire pour huit jours,

Le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée."
37,J'étais bien plus isolé qu'un naufragé sur un radeau au milieu de l'Océan.
38,"Alors vous imaginez ma surprise, au lever du jour, quand une drôle de petite voix m'a réveillé."
39,"Elle disait :

- S'il vous plaît... dessine-moi un mouton !"
40,"- Dessine-moi un mouton...

J'ai sauté sur mes pieds comme si j'avais été frappé par la foudre."
41,J'ai bien frotté mes yeux.
42,J'ai bien regardé.
43,Et j'ai vu un petit bonhomme tout à fait extraordinaire qui me considérait gravement.
44,"Voilà le meilleur portrait que, plus tard, j'ai réussi à faire de lui."
45,"Mais mon dessin, bien sûr, est beaucoup moins ravissant que le modèle."
46,Ce n'est pas ma faute.
47,"J'avais été découragé dans ma carrière de peintre par les grandes personnes, à l'âge de six ans, et je n'avais rien appris à dessiner, sauf les boas fermés et les boas ouverts."
48,je regardai donc cette apparition avec des yeux tout ronds d'étonnement.
49,N'oubliez pas que je me trouvais à mille milles de toute région habitée.
50,"Or mon petit bonhomme ne me semblait ni égaré, ni mort de fatigue, ni mort de faim, ni mort de soif, ni mort de peur."
51,"Il n'avait en rien l'apparence d'un enfant perdu au milieu du désert, à mille milles de toute région habitée."
52,"Quand je réussis enfin à parler, je lui dis :

- Mais... qu'est-ce que tu fais là ?"
53,"Et il me répéta alors, tout doucement, comme une chose très sérieuse :

- S'il vous plaît... dessine-moi un mouton...

Quand le mystère est trop impressionnant, on n'ose pas désobéir."
54,"Aussi absurde que cela me semblât à mille milles de tous les endroits habités et en danger de mort, je sortis de ma poche une feuille de papier et un stylographe."
55,"Mais je me rappelai alors que j'avais surtout étudié la géographie, l'histoire, le calcul et la grammaire et je dis au petit bonhomme (avec un peu de mauvaise humeur) que je ne savais pas dessiner."
56,"Il me répondit :

- ça ne fait rien."
57,Dessine-moi un mouton.
58,"Comme je n'avais jamais dessiné un mouton je refis, pour lui, l'un des deux seuls dessins dont j'étais capable."
59,Celui du boa fermé.
60,"Et je fus stupéfait d'entendre le petit bonhomme me répondre :

- Non !"
61,Non 1 je ne veux pas d'un éléphant dans un boa.
62,"Un boa c'est très dangereux, et un éléphant c'est très encombrant."
63,Chez moi c'est tout petit.
64,J'ai besoin d'un mouton.
65,Dessine-moi un mouton.
66,Alors j'ai dessiné.
67,"Il regarda attentivement, puis

- Non!"
68,Celui-là est déjà très malade.
69,Fais-en un autre.
70,"Je dessinai :

Mon ami sourit gentiment, avec indulgence :

- Tu vois bien... ce n'est pas un mouton, c'est un bélier."
71,"Il a des cornes...

Je refis donc encore mon dessin :

Mais il fut refusé, comme les précédents :

- Celui-là est trop vieux."
72,je veux un mouton qui vive longtemps.
73,"Alors, faute de patience, comme j'avais hâte de commencer le démontage de mon moteur, je griffonnai ce dessin-ci."
74,"Et je lançai :

- ça c'est la caisse."
75,Le mouton que tu veux est dedans.
76,"Mais je fus bien surpris de voir s'illuminer le visage de mon jeune juge :

- C'est tout à fait comme ça que je le

Voulais !"
77,Crois-tu qu'il faille beaucoup d'herbe à ce mouton ?
78,- Pourquoi ?
79,"- Parce que chez moi c'est tout petit...

- Ça suffira sûrement."
80,je t'ai donné un tout petit mouton.
81,"Il pencha la tête vers le dessin

- Pas si petit que ça... Tiens Il s'est endormi..."
82,Et c'est ainsi que je fis la connaissance du petit prince.
84,"Le petit prince, qui me posait beaucoup de questions, ne semblait jamais entendre les miennes."
85,"Ce sont des mots prononcés par hasard qui, peu à peu, m'ont tout révélé."
86,"Ainsi, quand il aperçut pour la première fois mon avion (je ne dessinerai pas mon avion, c'est un dessin beaucoup trop compliqué pour moi) il me demanda :

- Qu'est-ce que c'est que cette chose-là ?"
87,- Ce n'est pas une chose.
88,Ça vole.
89,C'est un avion.
90,C'est mon avion.
91,Et j'étais fier de lui apprendre que je volais.
92,"Alors il s'écria

- Comment !"
93,Tu es tombé du ciel ?
94,"- Oui, fis-je modestement."
95,- Ah 1 ça c'est drôle...
96,Et le petit prince eut un très joli éclat de rire qui m'irrita beaucoup.
97,Je désire que l'on prenne mes malheurs au sérieux.
98,"Puis il ajouta :

- Alors, toi aussi tu viens du ciel 1 De quelle planète es-tu ?"
99,"J'entrevis aussitôt une lueur, dans le mystère de sa présence, et j'interrogeai brusquement :

- Tu viens donc d'une autre planète ?"
100,Mais il ne me répondit pas.
101,"Il hochait la tête doucement tout en regardant mon avion :

- C'est vrai que, là-dessus, tu ne peux pas venir de bien loin..."
102,Et il s'enfonça dans une rêverie qui dura longtemps.
103,"Puis, sortant mon mouton de sa poche, il se plongea dans la contemplation de son trésor."
104,"Vous imaginez combien j'avais pu être intrigué par cette demi confidence sur""les autres planètes""."
105,"Je m'efforçai donc d'en savoir plus long :

- D'où viens-tu, mon petit bonhomme ?"
106,"Où est-ce""chez toi""?"
107,Où veux-tu emporter mon mouton ?
108,"Il me répondit après un silence méditatif :

- Ce qui est bien, avec la caisse que tu m'as donnée, c'est que, la nuit, ça lui servira de maison."
109,- Bien sûr.
110,"Et si tu es gentil, je te donnerai aussi une corde pour l'attacher pendant le jour."
111,Et un piquet.
112,"La proposition parut choquer le petit prince

- L'attacher ?"
113,Quelle drôle d'idée !
114,"- Mais si tu ne l'attaches pas, il ira n'importe où, et il se perdra..."
115,"Et mon ami eut un nouvel éclat de rire
- Mais où veux-tu qu'il aille ?"
116,- N'importe où.
118,Ça ne pouvait pas m'étonner beaucoup.
119,"Je savais bien qu'en dehors des grosses planètes comme la Terre, Jupiter, Mars, Vénus, auxquelles on a donné des noms, il y en a des centaines d'autres qui 	sont quelquefois si petites qu'on a beaucoup de mal à les apercevoir au télescope."
120,"Quand un astronome découvre l'une d'elles, il lui donne pour nom un numéro."
121,"Il l'appelle par exemple :""l'astéroïde 3251""."
122,J'ai de sérieuses raisons de croire que la planète d'où venait le petit prince est l'astéroïde B 612.
123,"Cet astéroïde n'a été aperçu qu'une fois au télescope, en 1909 par un astronome turc."
124,Il avait fait alors une grande démonstration de sa découverte à un Congrès International d'Astronomie.
125,Mais personne ne l'avait cru à cause de son costume.
126,Les grandes personnes sont comme ça.
127,"Heureusement pour la réputation de l'astéroïde B 612 un dictateur turc imposa à son peuple, sous peine de mort, de s'habiller à l'européenne."
128,L'astronome refit sa démonstration en 1920 dans un habit très élégant.
129,Et cette fois-ci tout le monde fut de son avis.
130,"Si je vous ai raconté ces détails sur l'astéroïde B 612 et si je vous ai confié son numéro, c'est à cause des grandes personnes."
131,Les grandes personnes aiment les chiffres.
132,"Quand vous leur parlez d'un nouvel ami, elles ne vous questionnent jamais sur l'essentiel."
133,"Elles ne vous disent jamais:""Quel est le son de sa voix ?"
134,Quels sont les jeux qu'il préfère ?
135,Est-ce qu'il collectionne les papillons ?
136,"""Elles vous demandent:""Quel âge a-t-il ?"
137,Combien a-t-il de frères ?
138,Combien pèse-t-il ?
139,Combien gagne son père ?
140,"""Alors seulement elles croient le connaître."
141,"Si vous dites aux grandes personnes :""J'ai vu une belle maison en briques roses, avec des géraniums aux fenêtres et des colombes sur le toit...""Elles ne parviennent pas à s'imaginer cette maison."
142,"Il faut leur dire :""J'ai vu une maison de cent mille francs."
143,"""Alors elles s'écrient :""Comme c'est joli !"""
144,"Ainsi, si vous leur dites :""La preuve que le petit prince a existé c'est qu'il était ravissant, qu'il riait, et qu'il voulait un mouton."
145,"Quand on veut un mouton, c'est la preuve qu'on existe"", elles hausseront les épaules et vous traiteront d'enfant!"
146,"Mais si vous leur dites :""La planète d'où il venait est l'astéroïde B 612"", alors elles seront convaincues, et elles vous laisseront tranquille avec leurs questions."
147,Elles sont comme ça.
148,Il ne faut pas leur en vouloir.
149,Les enfants doivent être très indulgents envers les grandes personnes.
150,"Mais, bien sûr, nous qui comprenons la vie, nous nous moquons bien des numéros !"
151,J'aurais aimé commencer cette histoire à la façon des contes de fées.
152,"J'aurais aimé dire :

""Il était une fois un petit prince qui habitait une planète à peine plus grande que lui, et qui avait besoin d'un ami...""Pour ceux qui comprennent la vie, ça aurait eu l'air beaucoup plus vrai."
153,Car je n'aime pas qu'on lise mon livre à la légère.
154,J'éprouve tant de chagrin à raconter ces souvenirs.
155,Il y a six ans déjà que mon ami s'en est allé avec son mouton.
156,"Si j'essaie ici de le décrire, c'est afin de ne pas l'oublier."
157,C'est triste d'oublier un ami.
158,Tout le monde n'a pas eu un ami.
159,Et je puis devenir comme les grandes personnes qui ne s'intéressent plus qu'aux chiffres.
160,C'est donc pour ça encore que j'ai acheté une boîte de couleurs et des crayons.
161,"C'est dur de se remettre au dessin, à mon âge, quand on n'a jamais fait d'autres tentatives que celle d'un boa fermé et celle d'un boa ouvert, à l'âge de six ans !"
162,"J'essaierai, bien sûr, de faire des portraits le plus ressemblants possible."
163,Mais je ne suis pas tout à fait certain de réussir.
164,"Un dessin va, et l'autre ne ressemble plus."
165,Je me trompe un peu aussi sur la taille.
166,Ici le petit prince est trop grand.
167,Là il est trop petit.
168,J'hésite aussi sur la couleur de son costume.
169,"Alors je tâtonne comme ci et comme ça, tant bien que mal."
170,Je me tromperai enfin sur certains détails plus importants.
171,"Mais ça, il faudra me le pardonner."
172,Mon ami ne donnait jamais d'explications.
173,Il me croyait peut-être semblable à lui.
174,"Mais moi, malheureusement, je ne sais pas voir les moutons à travers les caisses."
175,Je suis peut-être un peu comme les grandes personnes.
176,J'ai dû vieillir.
178,"Ça venait tout doucement, au hasard des réflexions."
179,"C'est ainsi que, le troisième jour, je connus le drame des baobabs."
180,"Cette fois-ci encore ce fut grâce au mouton, car brusquement le petit prince m'interrogea, comme pris d'un doute grave :

- C'est bien vrai, n'est-ce pas, que les moutons mangent les arbustes ?"
181,- Oui.
182,C'est vrai.
183,- Ah !
184,Je suis content.
185,Je ne compris pas pourquoi il était si important que les moutons mangeassent les arbustes.
186,"Mais le petit prince ajouta :

- Par conséquent ils mangent aussi les baobabs ?"
187,"Je fis remarquer au petit prince que les baobabs ne sont pas des arbustes, mais des arbres grands comme des églises et que, si même il emportait avec lui tout un troupeau d'éléphants, ce troupeau ne viendrait pas à bout d'un seul baobab."
188,"L'idée du troupeau d'éléphants fit rire le petit prince

- Il faudrait les mettre les uns sur les autres...

Mais il remarqua avec sagesse :

- Les baobabs, avant de grandir, ça commence par être petit."
189,- C'est exact !
190,Mais pourquoi veux-tu que tes moutons mangent les petits baobabs ?
191,"Il me répondit:""Ben!"
192,Voyons!
193,"""Comme s'il s'agissait là d'une évidence."
194,Et il me fallut un grand effort d'intelligence pour comprendre à moi seul ce problème.
195,"Et en effet, sur la planète du petit prince, il y avait comme sur toutes les planètes, de bonnes herbes et de mauvaises herbes."
196,Par conséquent de bonnes graines de bonnes herbes et de mauvaises graines de mauvaises herbes.
197,Mais les graines sont invisibles.
198,"Elles dorment dans le secret de la terre jusqu'à ce qu'il prenne fantaisie à l'une d'elles de se réveiller... Alors elle s'étire, et pousse d'abord timidement vers le soleil une ravissante petite brindille inoffensive."
199,"S'il s'agit d'une brindille de radis ou de rosier, on peut la laisser pousser comme elle veut."
200,"Mais s'il s'agit d'une mauvaise plante, il faut arracher la plante aussitôt, dès qu'on a su la reconnaître."
201,Or il y avait des graines terribles sur la planète du petit prince... c'étaient les graines de baobabs.
202,Le sol de la planète en était infesté.
203,"Or un baobab, si l'on s'y prend trop tard, on ne peut jamais plus s'en débarrasser."
204,Il encombre toute la planète.
205,Il la perfore de ses racines.
206,"Et si la planète est trop petite, et si les baobabs sont trop nombreux, ils la font éclater."
207,"""C'est une question de discipline, me disait plus tard le petit prince."
208,"Quand on a terminé sa toilette du matin, il faut faire soigneusement la toilette de la planète."
209,Il faut s'astreindre régulièrement à arracher les baobabs dès qu'on les distingue d'avec les rosiers auxquels ils ressemblent beaucoup quand ils sont très jeunes.
210,"C'est un travail très ennuyeux, mais très facile."""
211,"Et un jour il me conseilla de m'appliquer à réussir un beau dessin, pour bien faire entrer ça dans la tête des enfants de chez moi."
212,"""S'ils voyagent un jour, me disait-il, ça pourra leur servir."
213,Il est quelquefois sans inconvénient de remettre à plus tard son travail.
214,"Mais, s'il s'agit des baobabs, c'est toujours une catastrophe."
215,"J'ai connu une planète, habitée par un paresseux."
216,"Il avait négligé trois arbustes...""

Et, sur les indications du petit prince, j'ai dessiné cette planète-là."
217,Je n'aime guère prendre le ton d'un moraliste.
218,"Mais le danger des baobabs est si peu connu, et les risques courus par celui qui s'égarerait dans un astéroïde sont si considérables, que, pour une fois, je fais exception à ma réserve."
219,"Je dis:""Enfants 1 Faites attention aux baobabs 1""C'est pour avertir mes amis d'un danger qu'ils frôlaient depuis longtemps, comme moi-même, sans le connaître, que j'ai tant travaillé ce dessin-là."
220,La leçon que je donnais en valait la peine.
221,"Vous vous demanderez peut-être : Pourquoi n'y a-t-il pas, dans ce livre, d'autres dessins aussi grandioses que le dessin des baobabs ?"
222,La réponse est bien simple : J'ai essayé mais je n'ai pas pu réussir.
223,Quand j'ai dessiné les baobabs j'ai été animé par le sentiment de l'urgence.
225,"petit prince, j'ai compris, peu à peu, ainsi, ta petite vie mélancolique."
226,Tu n'avais eu longtemps pour distraction que la douceur des couchers de soleil.
227,"J'ai appris ce détail nouveau, le quatrième jour au matin, quand tu m'a dit :

J'aime bien les couchers de soleil."
228,"Allons voir un coucher de soleil...

- Mais il faut attendre...

- Attendre quoi ?"
229,- Attendre que le soleil se couche.
230,"Tu as eu J'air très surpris d'abord, et puis tu as ri de toi-même."
231,"Et tu m'as dit :

- Je me crois toujours chez moi

En effet."
232,"Quand il est midi aux États-Unis, le soleil, tout le monde le sait, se couche sur la France."
233,Il suffirait de pouvoir aller en France en une minute pour assister au coucher de soleil.
234,Malheureusement la France est bien trop éloignée.
235,"Mais, sur ta si petite planète, il te suffisait de tirer ta chaise de quelques pas."
236,"Et tu regardais le crépuscule chaque fois que tu le désirais...

- Un jour, j'ai vu le soleil se coucher quarante-trois fois !"
237,"Et un peu plus tard tu ajoutais

Tu sais... quand on est tellement triste on aime les couchers de soleil...

- Le jour des quarante-trois fois tu étais donc tellement triste ?"
238,Mais le petit prince ne répondit pas.
240,"Il me demanda avec brusquerie, sans préambule, comme le fruit d'un problème longtemps médité en silence :

- Un mouton, s'il mange les arbustes, il mange aussi les fleurs ?"
241,- Un mouton mange tout ce qu'il rencontre.
242,- Même les fleurs qui ont des épines ?
243,- Oui.
244,Même les fleurs qui ont des épines.
245,"- Alors les épines, à quoi servent-elles ?"
246,Je ne le savais pas.
247,J'étais alors très occupé à essayer de dévisser un boulon trop serré de mon moteur.
248,"J'étais très soucieux car ma panne commençait de m'apparaître comme très grave, et l'eau à boire qui s'épuisait me faisait craindre le pire."
249,"- Les épines, à quoi servent-elles ?"
250,"Le petit prince ne renonçait jamais à une question, une fois qu'il l'avait posée."
251,"J'étais irrité par mon boulon et je répondis n'importe quoi :

- Les épines, ça ne sert à rien, c'est de la pure méchanceté de la part des fleurs

- Oh !"
252,"Mais après un silence il me lança, avec une sorte de rancune :

- Je ne te crois pas !"
253,Les fleurs sont faibles.
254,Elles sont naïves.
255,Elles se rassurent comme elles peuvent.
256,"Elles se croient terribles avec leurs épines...

Je ne répondis rien."
257,"À cet instant-là je me disais :""Si ce boulon résiste encore, je le ferai sauter d'un coup de marteau."
258,"""Le petit prince dérangea de nouveau mes réflexions :

- Et tu crois, toi, que les fleurs...

- Mais non !"
259,Mais non !
260,Je ne crois rien !
261,J'ai répondu n'importe quoi.
262,"Je m'occupe, moi, de choses sérieuses !"
263,Il me regarda stupéfait.
264,"- De choses sérieuses

Il me voyait, mon marteau à la main, et les doigts noirs de cambouis, penché sur un objet qui lui semblait très laid."
265,- Tu parles comme les grandes personnes !
266,Ça me fit un peu honte.
267,"Mais, impitoyable, il ajouta

- Tu confonds tout... tu mélanges tout !"
268,Il était vraiment très irrité.
269,"Il secouait au vent des cheveux tout dorés :

- Je connais une planète où il y a un Monsieur cramoisi."
270,Il n'a jamais respiré une fleur.
271,Il n'a jamais regardé une étoile.
272,Il n'a jamais aimé personne.
273,Il n'a jamais rien fait d'autre que des additions.
274,"Et toute la journée il répète comme toi :""Je suis un homme sérieux !"
275,Je suis un homme sérieux !
276,"""et ça le fait gonfler d'orgueil."
277,"Mais ce n'est pas un homme, c'est un champignon!"
278,- Un quoi ?
279,"- Un champignon

Le petit prince était maintenant tout pâle de colère."
280,- Il y a des millions d'années que les fleurs fabriquent des épines.
281,Il y a des millions d'années que les moutons mangent quand même les fleurs.
282,Et ce n'est pas sérieux de chercher à comprendre pourquoi elles se donnent tant de mal pour se fabriquer des épines qui ne servent jamais à rien ?
283,Ce n'est pas important la guerre des moutons et des fleurs ?
284,Ce n'est pas plus sérieux et plus important que les additions d'un gros Monsieur rouge ?
285,"Et si je connais, moi, une fleur unique au monde, qui n'existe nulle part, sauf dans ma planète, et qu'un petit mouton peut anéantir d'un seul coup, comme ça, un matin, sans se rendre compte de ce qu'il fait, ce n'est pas important ça

Il rougit, puis reprit :

- Si quelqu'un aime une fleur qui n'existe qu'à un exemplaire dans les millions et les millions d'étoiles, ça suffit pour qu'il soit heureux quand il les regarde."
286,"Il se dit:""Ma fleur est là quelque part...""Mais si le mouton mange la fleur, c'est pour lui comme si, brusquement, toutes les étoiles s'éteignaient !"
287,Et ce n'est pas important ça !
288,Il ne put rien dire de plus.
289,Il éclata brusquement en sanglots.
290,La nuit était tombée.
291,J'avais lâché mes outils.
292,"Je me moquais bien de mon marteau, de mon boulon, de la soif et de la mort."
293,"Il y avait, sur une étoile, une planète, la mienne, la Terre, un petit prince à consoler !"
294,Je le pris dans les bras.
295,Je le berçai.
296,"Je lui disais :""La fleur que tu aimes n'est pas en danger... Je lui dessinerai une muselière, à ton mouton... Je te dessinerai une armure pour ta fleur... Je...""Je ne savais pas trop quoi dire."
297,Je me sentais très maladroit.
298,"Je ne savais comment l'atteindre, où le rejoindre... C'est tellement mystérieux, le pays des larmes."
300,"Il y 'avait toujours eu, sur la planète du petit prince, des fleurs très simples, ornées d'un seul rang de pétales, et qui ne tenaient point de place, et qui ne dérangeaient personne."
301,"Elles apparaissaient un matin dans l'herbe, et puis elles s'éteignaient le soir."
302,"Mais celle-là avait germé un jour, d'une graine apportée d'on ne sait où, et le petit prince avait surveillé de très près cette brindille qui ne ressemblait pas aux autres brindilles."
303,Ça pouvait être un nouveau genre de baobab.
304,"Mais l'arbuste cessa vite de croître, et commença de préparer une fleur."
305,"Le petit prince, qui assistait à l'installation d'un bouton énorme, sentait bien qu'il en sortirait une apparition miraculeuse, mais la fleur n'en finissait pas de se préparer à être belle, à l'abri de sa chambre verte."
306,Elle choisissait avec soin ses couleurs.
307,"Elle s'habillait lentement, elle ajustait un à un ses pétales."
308,Elle ne voulait pas sortir toute fripée comme les coquelicots.
309,Elle ne voulait apparaître que dans le plein rayonnement de sa beauté.
310,Eh !
311,oui.
312,Elle était très coquette !
313,Sa toilette mystérieuse avait donc duré des jours et des jours.
314,"Et puis voici qu'un matin, justement à l'heure du lever du soleil, elle s'était montrée."
315,"Et elle, qui avait travaillé avec tant de précision, dit en bâillant :

- Ah !"
316,Je me réveille à peine... Je vous demande pardon... Je suis encore toute décoiffée...
317,"Le petit prince, alors, ne put contenir son admiration

- Que vous êtes belle !"
318,"- N'est-ce pas, répondit doucement la fleur."
319,Et je suis née en même temps que le soleil...
320,"Le petit prince devina bien qu'elle n'était pas trop modeste, mais elle était si émouvante !"
321,"- C'est l'heure, je crois, du petit déjeuner, avait elle bientôt ajouté, auriez vous la bonté de penser à moi..."
322,"Et le petit prince, tout confus, ayant été chercher un arrosoir d'eau fraîche, avait servi la fleur."
323,Ainsi l'avait-elle bien vite tourmenté par sa vanité un peu ombrageuse.
324,"Un jour, par exemple, parlant de ses quatre épines, elle avait dit au petit prince

Ils peuvent venir, les tigres, avec leurs griffes

Il n'y a pas de tigres sur ma planète, avait objecté le petit prince, et puis les tigres ne mangent pas l'herbe."
325,"- Je ne suis pas une herbe, avait doucement répondu la fleur."
326,"- Pardonnez-moi...

- Je ne crains rien des tigres, mais j'ai horreur des courants d'air."
327,Vous n'auriez pas un paravent ?
328,"""Horreur des courants d'air... ce n'est pas de chance, pour une plante, avait remarqué le petit prince."
329,"Cette fleur est bien compliquée...""

- Le soir vous me mettrez sous globe."
330,Il fait très froid chez vous.
331,C'est mal installé.
332,"Là d'où je viens...

Mais elle s'était interrompue."
333,"Elle était venue sous forme de graine, elle n'avait rien pu connaître des autres mondes."
334,"Humiliée de s'être laissé surprendre à préparer un mensonge aussi naïf, elle avait toussé deux ou trois fois, pour mettre le petit prince dans son tort

- Ce paravent ?..."
335,- J'allais le chercher mais vous me parliez !
336,Alors elle avait forcé sa toux pour lui infliger quand même des remords.
337,"Ainsi le petit prince, malgré la bonne volonté de son amour, avait vite douté d'elle."
338,"Il avait pris au sérieux des mots sans importance, et était devenu très malheureux."
339,"""J'aurais dû ne pas l'écouter, me confia-t-il un jour, il ne faut jamais écouter les fleurs."
340,Il faut les regarder et les respirer.
341,"La mienne embaumait ma planète, mais je ne savais pas m'en réjouir."
342,"Cette histoire de griffes, qui m'avait tellement agacé, eût dû m'attendrir...""

Il me confia encore :

""Je n'ai alors rien su comprendre J'aurais dû la juger sur les actes et non sur les mots."
343,Elle m'embaumait et m'éclairait.
344,Je n'aurais jamais dû m'enfuir !
345,J'aurais dû deviner sa tendresse derrière ses pauvres ruses.
346,Les fleurs sont si contradictoires !
347,"Mais j'étais trop jeune pour savoir l'aimer."""
349,Au matin du départ il mit sa planète bien en ordre.
350,Il ramona soigneusement ses volcans en activité.
351,Il possédait deux volcans en activité.
352,Et c'était bien commode pour faire chauffer le petit déjeuner du matin.
353,Il possédait aussi un volcan éteint.
354,"Mais, comme il disait :""On ne sait jamais !"
355,"""Il ramona donc également le volcan éteint."
356,"S'ils sont bien ramonés, les volcans brûlent doucement et régulièrement, sans éruptions."
357,Les éruptions volcaniques sont comme des feux de cheminée.
358,Évidemment sur notre terre nous sommes beaucoup trop petits pour ramoner nos volcans.
359,C'est pourquoi ils nous causent des tas d'ennuis.
360,"Le petit prince arracha aussi, avec un peu de mélancolie, les dernières pousses de baobabs."
361,Il croyait ne jamais devoir revenir.
362,"Mais tous ces travaux familiers lui parurent, ce matin-là, extrêmement doux."
363,"Et, quand il arrosa une dernière fois la fleur, et se prépara à la mettre à l'abri sous son globe, il se découvrit l'envie de pleurer."
364,"- Adieu, dit-il à la fleur."
365,Mais elle ne lui répondit pas.
366,"- Adieu, répéta-t-il."
367,La fleur toussa.
368,Mais ce n'était pas à cause de son rhume.
369,"J'ai été sotte, lui dit-elle enfin."
370,Je te demande pardon.
371,Tâche d'être heureux.
372,Il fut surpris par l'absence de reproches.
373,"Il restait là tout déconcerté, le globe en l'air."
374,Il ne comprenait pas cette douceur calme.
375,"- Mais oui, je t'aime, lui dit la fleur."
376,"Tu n'en as rien su, par ma faute."
377,Cela n'a aucune importance.
378,Mais tu as été aussi sot que moi.
379,Tâche d'être heureux... Laisse ce globe tranquille.
380,Je n'en veux plus.
381,"- Mais le vent...

- je ne suis pas si enrhumée que ça... L'air frais de la nuit me fera du bien."
382,Je suis une fleur.
383,"- Mais les bêtes...

- Il faut bien que je supporte deux ou trois chenilles si je veux connaître les papillons."
384,Il paraît que c'est tellement beau.
385,Sinon qui me rendra visite ?
