,sentence
884,"- Bonjour, dit-il à tout hasard."
885,- Bonjour... bonjour... bonjour... répondit l'écho.
886,- Qui êtes-vous ?
887,dit le petit prince.
888,- Qui êtes-vous... qui êtes-vous... qui êtes-vous... répondit l'écho.
889,"- Soyez mes amis, je suis seul, dit-il."
890,- Je suis seul ... je suis seul... je suis seul ... répondit l'écho.
891,"""Quelle drôle de planète !"
892,pensa-t-il alors.
893,"Elle est toute sèche, et toute pointue et toute salée."
894,Et les hommes manquent d'imagination.
896,Et les routes vont toutes chez les hommes.
897,"- Bonjour, dit-il."
898,C'était un jardin fleuri de roses.
899,"- Bonjour, dirent les roses."
900,Le petit prince les regarda.
901,Elles ressemblaient toutes à sa fleur.
902,- Qui êtes-vous ?
903,"Leur demanda-t-il, stupéfait."
904,"- Nous sommes des roses, dirent les roses."
905,- Ah !
906,fit le petit prince...
907,Et il se sentit très malheureux.
908,Sa fleur lui avait raconté qu'elle était seule de son espèce dans l'univers.
909,"Et voici qu'il en était cinq mille, toutes semblables, dans un seul jardin !"
910,"""Elle serait bien vexée, se dit-il, si elle voyait ça... elle tousserait énormément et ferait semblant de mourir pour échapper au ridicule."
911,"Et je serais bien obligé de faire semblant de la soigner, car, sinon, pour m'humilier moi aussi, elle se laisserait vraiment mourir...""

Puis il se dit encore :""Je me croyais riche d'une fleur unique, et je ne possède qu'une rose ordinaire."
912,"Ça et mes trois volcans qui m'arrivent au genou, et dont l'un, peut-être, est éteint pour toujours, ça ne fait pas de moi un bien grand prince ...""Et, couché dans l'herbe, il pleura."
914,"- Bonjour, dit le renard."
915,"- Bonjour, répondit poliment le petit prince, qui se retourna mais ne vit rien."
916,"- Je suis là, dit la voix, sous le pommier...

- Qui es-tu ?"
917,dit le Petit prince.
918,"Tu es bien joli...

- Je suis un renard, dit le renard."
919,"- Viens jouer avec moi, lui proposa le petit prince."
920,"Je suis tellement triste...

- Je ne puis pas jouer avec toi, dit le renard."
921,Je ne suis pas apprivoisé.
922,- Ah !
923,"Pardon, fit le petit prince."
924,"Mais, après réflexion, il ajouta :

- Qu'est-ce que signifie""apprivoiser""?"
925,"- Tu n'es pas d'ici, dit le renard, que cherches-tu ?"
926,"- Je cherche les hommes, dit le petit prince."
927,"Qu'est ce que signifie""apprivoiser""?"
928,"- Les hommes, dit le renard, ils ont des fusils et ils chassent."
929,C'est bien gênant !
930,Ils élèvent aussi des poules.
931,C'est leur seul intérêt.
932,Tu cherches des poules ?
933,"- Non, dit le petit prince."
934,Je cherche des amis.
935,"Qu'est-ce que signifie""apprivoiser""?"
936,"- C'eft une chose trop oubliée, dit le renard."
937,"Ça signifie""créer des liens...""

- Créer des liens ?"
938,"- Bien sûr, dit le renard."
939,Tu n'es encore pour moi qu'un petit garçon tout semblable à cent mille petits garçons.
940,Et je n'ai pas besoin de toi.
941,Et tu n'as pas besoin de moi non plus.
942,Je ne suis pour toi qu'un renard semblable à cent raille renards.
943,"Mais, si tu m'apprivoises, nous aurons besoin l'un de l'autre."
944,Tu seras pour moi unique au monde.
945,"je serai pour toi unique au monde...

- je commence à comprendre, dit le petit prince."
946,"Il y a une fleur... je crois qu'elle m'a apprivoisé...

- C'est possible, dit le renard."
947,"On voit sur la Terre toutes sortes de choses...

- Oh !"
948,"ce n'est pas sur la Terre, dit le petit prince."
949,"Le renard parut très intrigué

- Sur une autre planète ?"
950,- Oui.
951,"- Il y a des chasseurs, sur cette planète-là ?"
952,- Non.
953,"- ça, c'est intéressant !"
954,Et des poules ?
955,- Non.
956,"- Rien n'est parfait, soupira le renard."
957,"Mais le renard revint à son idée :

- Ma vie est monotone."
958,"Je chasse les poules, les hommes me chassent."
959,"Toutes les poules se ressemblent, et tous les hommes se ressemblent."
960,Je m'ennuie donc un peu.
961,"Mais, si tu m'apprivoises, ma vie sera comme ensoleillée."
962,Je connaîtrai un bruit de pas qui sera différent de tous les autres.
963,Les autres pas me font rentrer sous terre.
964,"Le tien m'appellera hors du terrier, comme une musique."
965,Et puis regarde !
966,"Tu vois, là-bas, les champs de blé ?"
967,Je ne mange pas de pain.
968,Le blé pour moi est inutile.
969,Les champs de blé ne me rappellent rien.
970,"Et ça, c'est triste !"
971,Mais tu as des cheveux couleur d'or.
972,Alors ce sera merveilleux quand tu m'auras apprivoisé !
973,"Le blé, qui est doré, me fera souvenir de toi."
974,Et j'aimerai le bruit du vent dans le blé...
975,"Le renard se tut et regarda longtemps le petit prince :

- S'il te plaît... apprivoise-moi !"
976,dit-il.
977,"- Je veux bien, répondit le petit prince, mais je n'ai pas beaucoup de temps."
978,J'ai des amis à découvrir et beaucoup de choses à connaître.
979,"- On ne connaît que les choses que l'on apprivoise, dit le renard."
980,Les hommes n'ont plus le temps de rien connaître.
981,Ils achètent des choses toutes faites chez les marchands.
982,"Mais comme il n'existe point de marchands d'amis, les hommes n'ont plus d'amis."
983,"Si tu veux un ami, apprivoise-moi !"
984,- Que faut-il faire ?
985,dit le petit prince.
986,"- Il faut être très patient, répondit le renard."
987,"Tu t'assoiras d'abord un peu loin de moi, comme ça, dans l'herbe."
988,Je te regarderai du coin de l'oeil et tu ne diras rien.
989,Le langage est source de malentendus.
990,"Mais, chaque jour, tu pourras t'asseoir un peu plus près..."
991,Le lendemain revint le petit prince.
992,"- Il eût mieux valu revenir à la même heure, dit le renard."
993,"Si tu viens, par exemple, à quatre heures de l'après-midi, dès trois heures je commencerai d'être heureux."
994,"Plus l'heure avancera, plus je me sentirai heureux."
995,"À quatre heures, déjà, je m'agiterai et m'inquiéterai; je découvrirai le prix du bonheur !"
996,"Mais si tu viens n'importe quand, je ne saurai jamais à quelle heure m'habiller le coeur... Il faut des rites."
997,- Qu'est-ce qu'un rite ?
998,dit le petit prince.
999,"- C'est aussi quelque chose de trop oublié, dit le renard."
1000,"C'est ce qui fait qu'un jour est différent des autres jours, une heure, des autres heures."
1001,"Il y a un rite, par exemple, chez mes chasseurs."
1002,Ils dansent le jeudi avec les filles du village.
1003,Alors le jeudi est jour merveilleux !
1004,Je vais me promener jusqu'à la vigne.
1005,"Si les chasseurs dansaient n'importe quand, les jours se ressembleraient tous, et je n'aurais point de vacances."
1006,Ainsi le petit prince apprivoisa le renard.
1007,"Et quand l'heure du départ fut proche :

- Ah !"
1008,dit le renard... Je pleurerai.
1009,"- C'est ta faute, dit le petit prince, je ne te souhaitais point de mal, mais tu as voulu que je t'apprivoise...

Bien sûr, dit le renard."
1010,- Mais tu vas pleurer !
1011,dit le petit prince.
1012,"- Bien sûr, dit le renard."
1013,- Alors tu n'y gagnes rien !
1014,"- J'y gagne, dit le renard, à cause de la couleur du blé."
1015,"Puis il ajouta :

- Va revoir les roses."
1016,Tu comprendras que la tienne est unique au monde.
1017,"Tu reviendras me dire adieu, et je te ferai cadeau d'un secret."
1018,Le petit prince s'en fut revoir les roses.
1019,"- Vous n'êtes pas du tout semblables à ma rose, vous n'êtes rien encore, leur dit-il."
1020,Personne ne vous a apprivoisées et vous n'avez apprivoisé personne.
1021,Vous êtes comme était mon renard.
1022,Ce n'était qu'un renard semblable à cent mille autres.
1023,"Mais j'en ai fait mon ami, et il est maintenant unique au monde."
1024,Et les roses étaient gênées.
1025,"- Vous êtes belles, mais vous êtes vides, leur dit-il encore."
1026,On ne peut pas mourir pour vous.
1027,"Bien sûr, ma rose à moi, un passant ordinaire croirait qu'elle vous ressemble."
1028,"Mais à elle seule elle est plus importante que vous toutes, puisque c'est elle que j'ai arrosée."
1029,Puisque c'est elle que j'ai mise sous globe.
1030,Puisque c'est elle que j'ai abritée par le paravent.
1031,Puisque c'est elle dont j'ai tué les chenilles (sauf les deux ou trois pour les papillons).
1032,"Puisque c'est elle que j'ai écoutée se plaindre, ou se vanter, ou même quelquefois se taire."
1033,Puisque c'est ma rose.
1034,"Et il revint vers le renard

- Adieu, dit-il...

- Adieu, dit le renard."
1035,Voici mon secret.
1036,Il est très simple : on ne voit bien qu'avec le coeur.
1037,L'essentiel est invisible pour les yeux.
1038,"- L'essentiel est invisible pour les yeux, répéta le petit prince, afin de se souvenir."
1039,- C'est le temps que tu as perdu pour ta rose qui fait ta rose si importante.
1040,"- C'est le temps que j'ai perdu pour ma rose... fit le petit prince, afin de se souvenir."
1041,"- Les hommes ont oublié cette vérité, dit le renard."
1042,Mais tu ne dois pas l'oublier.
1043,Tu deviens responsable pour toujours de ce que tu as apprivoisé.
1044,"Tu es responsable de ta rose ...

- Je suis responsable de ma rose ... répéta le petit prince, afin de se souvenir."
1046,"- Bonjour, dit l'aiguilleur."
1047,- Que fais-tu ici ?
1048,dit le petit prince.
1049,"- Je trie les voyageurs, par paquets de mille, dit l'aiguilleur."
1050,"J'expédie les trains qui les emportent, tantôt vers la droite, tantôt vers la gauche."
1051,"Et un rapide illuminé, grondant comme le tonnerre, fit trembler la cabine d'aiguillage."
1052,"- Ils sont bien pressés, dit le petit prince."
1053,Que cherchent-ils ?
1054,"- L'homme de la locomotive l'ignore lui-même, dit l'aiguilleur."
1055,"Et gronda, en sens inverse, un second rapide illuminé."
1056,- Ils reviennent déjà ?
1057,"demanda le petit prince...

- Ce ne sont pas les mêmes, dit l'aiguilleur."
1058,C'est un échange.
1059,"- Ils n'étaient pas contents, là où ils étaient ?"
1060,"- On n'est jamais content là où l'on est, dit l'aiguilleur."
1061,Et gronda le tonnerre d'un troisième rapide illuminé.
1062,- Ils poursuivent les premiers voyageurs ?
1063,demanda le petit prince.
1064,"- Ils ne poursuivent rien du tout, dit l'aiguilleur."
1065,"Ils dorment là dedans, ou bien ils bâillent."
1066,Les enfants seuls écrasent leur nez contre les vitres.
1067,"- Les enfants seuls savent ce qu'ils cherchent, fit le petit prince."
1068,"Ils perdent du temps pour une poupée de chiffons, et elle devient très importante, et si on la leur enlève, ils pleurent...

- Ils ont de la chance, dit l'aiguilleur."
1070,"- Bonjour, dit le marchand."
1071,C'était un marchand de pilules perfectionnées qui apaisent la soi£ On en avale une par semaine et l'on n'éprouve plus le besoin de boire.
1072,- Pourquoi vends-tu ça ?
1073,dit le petit prince.
1074,"- C'est une grosse économie de temps, dit le marchand."
1075,Les experts ont fait des calculs.
1076,On épargne cinquante-trois minutes par semaine.
1077,- Et que fait-on de ces cinquante-trois minutes ?
1079,- Ah !
1080,"Dis-je au petit prince, ils sont bien jolis, tes souvenirs, mais je n'ai pas encore réparé mon avion, je n'ai plus rien à boire, et je serais heureux, moi aussi, si je pouvais marcher tout doucement vers une fontaine

- Mon ami le renard, me dit-il...

- Mon petit bonhomme, il ne s'agit plus du renard 1

- Pourquoi ?"
1081,"- Parce qu'on va mourir de soif...

Il ne comprit pas mon raisonnement, il me répondit :

- C'est bien d'avoir eu un ami, même si l'on va mourir."
1082,"Moi, je suis bien content d'avoir eu un ami renard...

""Il ne mesure pas le danger, me dis-je."
1083,Il n'a jamais ni faim ni soif.
1084,"Un peu de soleil lui suffit...""

Mais il me regarda et répondit à ma pensée

- J'ai soif aussi... cherchons un puits...

J'eus un geste de lassitude : il est absurde de chercher un puits, au hasard, dans l'immensité du désert."
1085,Cependant nous nous mîmes en marche.
1086,"Quand nous eûmes marché, des heures, en silence, la nuit tomba, et les étoiles commencèrent de s'éclairer."
1087,"Je les apercevais comme en rêve, ayant un peu de fièvre, à cause de ma soif."
1088,Les mots du petit prince dansaient dans ma mémoire.
1089,"- Tu as donc soif, toi aussi ?"
1090,Lui demandai-je.
1091,Mais il ne répondit pas à ma question.
1092,"Il me dit simplement :

- L'eau peut aussi être bonne pour le coeur...

je ne compris pas sa réponse mais je me tus... Je savais bien qu'il ne fallait pas l'interroger."
1093,Il était fatigué.
1094,Il s'assit.
1095,Je m'assis auprès de lui.
1096,"Et, après un silence, il dit encore :

- Les étoiles sont belles, à cause d'une fleur que l'on ne voit pas...

Je répondis""bien sûr""et je regardai, sans parler, les plis du sable sous la lune."
1097,"- Le désert est beau, ajouta-t-il."
1098,Et c'était vrai.
1099,J'ai toujours aimé le désert.
1100,On s'assoit sur une dune de sable.
1101,On ne voit rien.
1102,On n'entend rien.
1103,"Et cependant quelque chose rayonne en silence...

- Ce qui embellit le désert, dit le petit prince, c'est qu'il cache un puits quelque part...

Je fus surpris de comprendre soudain ce mystérieux rayonnement du sable."
1104,"Lorsque j'étais petit garçon j'habitais une maison ancienne, et la légende racontait qu'un trésor y était enfoui."
1105,"Bien sûr, jamais personne n'a su le découvrir, ni peut-être même ne l'a cherché."
1106,Mais il enchantait toute cette maison.
1107,"Ma maison cachait un secret au fond de son coeur...

- Oui, dis-je au petit prince, qu'il s'agisse de la maison, des étoiles ou du désert, ce qui fait leur beauté est invisible !"
1108,"- Je suis content, dit-il, que tu sois d'accord avec mon renard."
1109,"Comme le petit prince s'endormait, je le pris dans mes bras, et me remis en route."
1110,J'étais ému.
1111,Il me semblait porter un trésor fragile.
1112,Il me semblait même qu'il n'y eût rien de plus fragile sur la Terre.
1113,"Je regardais, à la lumière de la lune, ce front pâle, ces yeux clos, ces mèches de cheveux qui tremblaient au vent, et je me disais :""Ce que je vois là n'est qu'une écorce."
1114,"Le plus important est invisible...""

Comme ses lèvres entr'ouvertes ébauchaient un demisourire je me dis encore :""Ce qui m'émeut si fort de ce petit prince endormi, c'est sa fidélité pour une fleur, c'est l'image d'une rose qui rayonne en lui comme la flamme d'une lampe, même quand il dort...""Et je le devinai plus fragile encore."
1115,Il faut bien protéger les lampes : un coup de vent peut les éteindre...
1116,"Et, marchant ainsi, je découvris le puits au lever du jour."
1118,Alors il s'agitent et tournent en rond...
1119,"Et il ajouta :

- Ce n'est pas la peine..."
1120,Le puits que nous avions atteint ne ressemblait pas aux puits sahariens.
1121,Les puits sahariens sont de simples trous creusés dans le sable.
1122,Celui-là ressemblait à un puits de village.
1123,"Mais il n'y avait là aucun village, et je croyais rêver."
1124,"- C'est étrange, dis-je au petit prince, tout est prêt la poulie, le seau et la corde...

Il rit, toucha la corde, fit jouer la poulie."
1125,"Et la poulie gémit comme gémit une vieille girouette quand le vent a longtemps dormi,

- Tu entends, dit le petit prince, nous réveillons ce puits et il chante...

Je ne voulais pas qu'il fît un effort

- Laisse-moi faire, lui dis-je, c'est trop lourd pour toi."
1126,Lentement je hissai le seau jusqu'à la margelle.
1127,Je l'y installai bien d'aplomb.
1128,"Dans mes oreilles durait le chant de la poulie et, dans l'eau qui tremblait encore, je voyais trembler le soleil."
1129,"- J'ai soif de cette eau-là, dit le petit prince, donne moi à boire..."
1130,"Et je compris ce qu'il avait cherché

Je soulevai le seau jusqu'à ses lèvres."
1131,"Il but, les yeux fermés."
1132,C'était doux comme une fête.
1133,Cette eau était bien autre chose qu'un aliment.
1134,"Elle était née de la marche sous les étoiles, du chant de la poulie, de l'effort de mes bras."
1135,"Elle était bonne pour le coeur, comme un cadeau."
1136,"Lorsque j'étais petit garçon, la lumière de l'arbre de Noël, la musique de la messe de minuit, la douceur des sourires faisaient ainsi tout le rayonnement du cadeau de Noël que je recevais."
1137,"- Les hommes de chez toi, dit le petit prince, cultivent cinq mille roses dans un même jardin... et ils n'y trouvent pas ce qu'ils cherchent...

- Ils ne le trouvent pas, répondis-je...

- Et cependant ce qu'ils cherchent pourrait être trouvé dans une seule rose ou un peu d'eau...

- Bien sûr, répondis-je."
1138,"Et le petit prince ajouta :

- Mais les yeux sont aveugles."
1139,Il faut chercher avec le coeur.
1140,J'avais bu.
1141,Je respirais bien.
1142,"Le sable, au lever du jour, est couleur de miel."
1143,J'étais heureux aussi de cette couleur de miel.
1144,"Pourquoi fallait-il que j'eusse de la peine...

- Il faut que tu tiennes ta promesse, me dit doucement le petit prince, qui, de nouveau, s'était assis auprès de moi."
1145,- Quelle promesse?
1146,- Tu sais... une muselière pour mon mouton... je suis responsable de cette fleur !
1147,Je sortis de ma poche mes ébauches de dessin.
1148,"Le petit prince les aperçut et dit en riant :

- Tes baobabs, ils ressemblent un peu à des choux...

- Oh!"
1149,Moi qui étais si fier des baobabs !
1150,"- Ton renard... ses oreilles... elles ressemblent un peu à des cornes... et elles sont trop longues

Et il rit encore."
1151,"- Tu es injuste, petit bonhomme, je ne savais rien
dessiner que les boas fermés et les  boas ouverts."
1152,- Oh !
1153,"ça ira, dit-il, les enfants savent."
1154,Je crayonnai donc une muselière.
1155,"Et j'eus le coeur serré en la lui donnant :

- Tu as des projets que j'ignore...

Mais il ne me répondit pas."
1156,"Il me dit

- Tu sais, ma chute sur la Terre... c'en sera demain l'anniversaire...

Puis, après un silence, il dit encore

- J'étais tombé tout près d'ici..."
1157,Et il rougit.
1158,"Et de nouveau, sans comprendre pourquoi, j'éprouvai un chagrin bizarre."
1159,"Cependant une question me vint :

- Alors ce n'est pas par hasard que, le matin où je t'ai connu, il y a huit jours, tu te promenais comme ça, tout seul, à mille milles de toutes les régions habitées ?"
1160,Tu retournais vers le point de ta chute ?
1161,Le petit prince rougit encore.
1162,"Et j'ajoutai, en hésitant :

- À cause, peut-être, de l'anniversaire ?..."
1163,Le petit prince rougit de nouveau.
1164,"Il ne répondait jamais aux questions, mais, quand on rougit, ça signifie""oui"", n'est-ce pas ?"
1165,- Ah !
1166,"lui dis-je, j'ai peur...

Mais il me répondit :

- Tu dois maintenant travailler."
1167,Tu dois repartir vers ta machine.
1168,je t'attends ici.
1169,"Reviens demain soir...

Mais je n'étais pas rassuré."
1170,Je me souvenais du renard.
1172,"Lorsque je revins de mon travail, le lendemain soir, j'aperçus de loin mon petit prince assis là-haut, les jambes pendantes."
1173,"Et je l'entendis qui parlait :

- Tu ne t'en souviens donc pas ?"
1174,disait-il.
1175,Ce n'est pas tout à fait ici !
1176,"Une autre voix lui répondit sans doute, puisqu'il répliqua :

- Si !"
1177,Si !
1178,"C'est bien le jour, mais ce n'est pas ici l'endroit...

Je poursuivis ma marche vers le mur."
1179,Je ne voyais ni n'entendais toujours personne.
1180,"Pourtant le petit prince répliqua de nouveau :

- ... Bien sûr."
1181,Tu verras où commence ma trace dans le sable.
1182,Tu n'as qu'à m'y attendre.
1183,J'y serai cette nuit.
1184,J'étais à vingt mètres du mur et je ne voyais toujours rien.
1185,"Le petit prince dit encore, après un silence 

- Tu as du bon venin ?"
1186,Tu es sûr de ne pas me faire souffrir longtemps ?
1187,"Je fis halte, le coeur serré, mais je ne comprenais toujours pas."
1188,"- Maintenant, va-t'en, dit-il... je veux redescendre !"
1189,"Alors j'abaissai moi-même les yeux vers le pied du mur, et je fis un bond !"
1190,"Il était là, dressé vers le petit prince, un de ces serpents jaunes qui vous exécutent en trente secondes."
1191,"Tout en fouillant ma poche pour en tirer mon revolver, je pris le pas de course, mais, au bruit que je fis, le serpent se laissa doucement couler dans le sable, comme un jet d'eau qui meurt, et, sans trop se presser, se faufila entre les pierres avec un léger bruit de métal."
1192,"Je parvins au mur juste à temps pour y recevoir dans les bras mon petit bonhomme de prince, pâle comme la neige."
1193,- Quelle est cette histoire-là !
1194,Tu parles maintenant avec les serpents !
1195,J'avais défait son éternel cache-nez d'or.
1196,Je lui avais mouillé les tempes et l'avais fait boire.
1197,Et maintenant je n'osais plus rien lui demander.
1198,Il me regarda gravement et m'entoura le cou de ses bras.
1199,"je sentais battre son coeur comme celui d'un oiseau qui meurt, quand on l'a tiré à la carabine."
1200,"Il me dit :

,- Je suis content que tu aies trouvé ce qui manquait à ta machine."
1201,"Tu vas pouvoir rentrer chez toi...

- Comment sais-tu ?"
1202,"Je venais justement lui annoncer que, contre toute espérance, j'avais réussi mon travail !"
1203,"Il ne répondit rien à ma question, mais il ajouta

- Moi aussi, aujourd'hui, je rentre chez moi...

Puis, mélancolique :

- C'est bien plus loin... c'est bien plus difficile...

Je sentais bien qu'il se passait quelque chose d'extraordinaire."
1204,"Je le serrais dans les bras comme un petit enfant, et cependant il me semblait qu'il coulait verticalement dans un abîme sans que je pusse rien pour le retenir...

Il avait le regard sérieux, perdu très loin."
1205,- J'ai ton mouton.
1206,Et j'ai la caisse pour le mouton.
1207,Et j'ai la muselière...
1208,Et il sourit avec mélancolie.
1209,J'attendis longtemps.
1210,"Je sentais qu'il se réchauffait peu à peu :

- Petit bonhomme, tu as eu peur...

Il avait eu peur, bien sûr !"
1211,"Mais il rit doucement

- J'aurai bien plus peur ce soir...

De nouveau je me sentis glacé par le sentiment de l'irréparable."
1212,Et je compris que je ne supportais pas l'idée de ne plus jamais entendre ce rire.
1213,C'était pour moi comme une fontaine dans le désert.
1214,"- Petit bonhomme, je veux encore t'entendre rire...

Mais il me dit :

- Cette nuit, ça fera un an."
1215,"Mon étoile se trouvera juste au-dessus de l'endroit où je suis tombé l'année dernière...

- Petit bonhomme, n'est-ce pas que c'est un mauvais rêve cette histoire de serpent et de rendez-vous et d'étoile...

Mais il ne répondit pas à ma question."
1216,"Il me dit

- Ce qui est important, ça ne se voit pas...

- Bien sûr...

- C'est comme pour la fleur."
1217,"Si tu aimes une fleur qui se trouve dans une étoile, c'est doux, la nuit, de regarder le ciel."
1218,Toutes les étoiles sont fleuries.
1219,"- Bien sûr...

- C'est comme pour l'eau."
1220,"Celle que tu m'as donnée à boire était comme une musique, à cause de la poulie et de la corde... tu te rappelles... elle était bonne."
1221,"- Bien sûr...

- Tu regarderas, la nuit, les étoiles."
1222,C'est trop petit chez moi pour que je te montre où se trouve la mienne.
1223,C'est mieux comme ça.
1224,"Mon étoile, ça sera pour toi une des étoiles."
1225,"Alors, toutes les étoiles, tu aimeras les regarder... Elles seront toutes tes amies."
1226,"Et puis je vais te faire un cadeau...

Il rit encore."
1227,- Ah!
1228,"Petit bonhomme, petit bonhomme, j'aime entendre ce rire !"
1229,"- Justement ce sera mon cadeau... ce sera comme pour l'eau...

- Que veux-tu dire ?"
1230,- Les gens ont des étoiles qui ne sont pas les mêmes.
1231,"Pour les uns, qui voyagent, les étoiles sont des guides."
1232,Pour d'autres elles ne sont rien que de petites lumières.
1233,"Pour d'autres, qui sont savants, elles sont des problèmes."
1234,Pour mon businessman elles étaient de l'or.
1235,Mais toutes ces étoiles-là se taisent.
1236,"Toi, tu auras des étoiles comme personne n'en a...

- Que veux-tu dire ?"
1237,"- Quand tu regarderas le ciel, la nuit, puisque j'habiterai dans l'une d'elles, puisque je rirai dans l'une d'elles, alors ce sera pour toi comme si riaient toutes les étoiles."
1238,"Tu auras, toi, des étoiles qui savent rire

Et il rit encore."
1239,- Et quand tu seras consolé (on se console toujours) tu seras content de m'avoir connu.
1240,Tu seras toujours mon ami.
1241,Tu auras envie de rire avec moi.
1242,"Et tu ouvriras parfois ta fenêtre, comme ça, pour le plaisir..."
1243,Et tes amis seront bien étonnés de te voir rire en regardant le ciel.
1244,"Alors tu leur diras :""Oui, les étoiles, ça me fait toujours rire !"
1245,"""Et ils te croiront fou."
1246,Je t'aurai joué un bien vilain tour...
1247,Et il rit encore.
1248,"- Ce sera comme si je t'avais donné, au lieu d'étoiles, des tas de petits grelots qui savent rire..."
1249,Et il rit encore.
1250,"Puis il redevint sérieux

- Cette nuit... tu sais... ne viens pas."
1251,- Je ne te quitterai pas.
1252,- J'aurai l'air d'avoir mal... j'aurai un peu l'air de mourir.
1253,C'est comme ça.
1254,"Ne viens pas voir ça, ce n'est pas la peine."
1255,- Je ne te quitterai pas.
1256,Mais il était soucieux.
1257,- je te dis ça... c'est à cause aussi du serpent.
1258,"Il ne faut pas qu'il te morde... Les serpents, c'est méchant."
1259,"Ça peut mordre pour le plaisir...

- Je ne te quitterai pas."
1260,"Mais quelque chose le rassura

- C'est vrai qu'ils n'ont plus de venin pour la seconde morsure...

Cette nuit-là je ne le vis pas se mettre en route."
1261,Il s'était évadé sans bruit.
1262,"Quand je réussis à le rejoindre il marchait décidé, d'un pas rapide."
1263,"Il me dit seulement :

- Ah !"
1264,Tu es là...
1265,Et il me prit par la main.
1266,"Mais il se tourmenta encore:

- Tu as eu tort."
1267,Tu auras de la peine.
1268,"J'aurai l'air d'être mort et ce ne sera pas vrai...

Moi je me taisais."
1269,- Tu comprends.
1270,C'est trop loin.
1271,Je ne peux pas emporter ce corps-là.
1272,C'est trop lourd.
1273,Moi je me taisais.
1274,- Mais ce sera comme une vieille écorce abandonnée.
1275,"Ce n'est pas triste les vieilles écorces...

Moi je me taisais."
1276,Il se découragea un peu.
1277,"Mais il fit encore un effort :

- Ce sera gentil, tu sais."
1278,Moi aussi je regarderai les étoiles.
1279,Toutes les étoiles seront des puits avec une poulie rouillée.
1280,"Toutes les étoiles me verseront à boire...

Moi je me taisais."
1281,- Ce sera tellement amusant !
1282,"Tu auras cinq cents millions de grelots, j'aurai cinq cents millions de fontaines..."
1283,"Et il se tut aussi, parce qu'il pleurait...

- C'est là."
1284,Laisse-moi faire un pas tout seul.
1285,Et il s'assit parce qu'il avait peur.
1286,"Il dit encore :

- Tu sais... ma fleur... j'en suis responsable !"
1287,Et elle est tellement faible !
1288,Et elle est tellement naïve.
1289,"Elle a quatre épines de rien du tout pour la protéger contre le monde...

Moi je m'assis parce que je ne pouvais plus me tenir debout."
1290,"Il dit :

- Voilà... C'est tout...

Il hésita encore un peu, puis il se releva."
1291,Il fit un pas.
1292,Moi je ne pouvais pas bouger.
1293,Il n'y eut rien qu'un éclair jaune près de sa cheville.
1294,Il demeura un instant immobile.
1295,Il ne cria pas.
1296,Il tomba doucement comme tombe un arbre.
1297,"Ça ne fit même pas de bruit, à cause du sable."
1299,Les camarades qui m'ont revu ont été bien contents de me revoir vivant.
1300,"J'étais triste, mais je leur disais :""C'est la fatigue...""

Maintenant je me suis un peu consolé."
1301,C'est-à-dire... pas tout à fait.
1302,"Mais je sais bien qu'il est revenu à sa planète, car, au lever du jour, je n'ai pas retrouvé son corps."
1303,Ce n'était pas un corps tellement lourd...
1304,Et j'aime la nuit écouter les étoiles.
1305,"C'est comme cinq cents millions de grelots...

Mais voilà qu'il se passe quelque chose d'extraordinaire."
1306,"La muselière que j'ai dessinée pour le petit prince, j'ai oublié d'y ajouter la courroie de cuir !"
1307,Il n'aura jamais pu l'attacher au mouton.
1308,"Alors je me demande :""Que s'est-il passé sur sa planète ?"
1309,"Peut-être bien que le mouton a mangé la fleur...""

Tantôt je me dis :""Sûrement non !"
1310,"Le petit prince enferme sa fleur toutes les nuits sous son globe de verre, et il surveille bien son mouton...""Alors je suis heureux."
1311,Et toutes les étoiles rient doucement.
1312,"Tantôt je me dis :""On est distrait une fois ou l'autre, et ça suffit !"
1313,"Il a oublié, un soir, le globe de verre, ou bien le mouton est sorti sans bruit pendant la nuit...""Alors les grelots se changent tous en larmes !"
1314,"...

C'est là un bien grand mystère."
1315,"Pour vous qui aimez aussi le petit prince, comme pour moi, rien de l'univers n'est semblable si quelque part, on ne sait où, un mouton que nous ne connaissons pas a, oui ou non, mangé une rose...

Regardez le ciel."
1316,Demandez-vous : Le mouton oui ou non a-t-il mangé la fleur ?
1317,Et vous verrez comme tout change...
1318,Et aucune grande personne ne comprendra jamais que ça a tellement d'importance !
